FILTRO,REGION,REGION_CAB,NOM_COMUNA,ZONA,FENC_DD,FENC_MM,MB_P1_1,MB_P1_2,MB_P1_3,MB_P2,MB_P3,MB_P4,MB_P5,MB_P6,MB_P7,MB_P8,MB_P9,MB_P10,MB_P11,MB_P12,MB_P13,MB_P14,MB_P15,MB_P16,MB_P16_OTRO,MB_P16_A,MB_P16_A_OTRO,MB_P17,MB_P17_OTRO,MB_P17_A,MB_P17_A_OTRO,MB_P18,MB_P18A,MB_P19_A,MB_P19_B,MB_P19_C,MB_P19_D,MB_P19_E,MB_P19_F,MB_P19_G,MB_P19_H,MB_P19_I,MB_P19_J,MB_P19_K,MB_P19_L,MB_P19_M,MB_P19_N,MB_P19_O,MB_P19_P,MB_P19_Q,MB_P19_R,MB_P19_S,MB_P19_T,MB_P19_U,MB_P19_V,MB_P19_W,MB_P19_X,MB_P19_Y,MB_P19_Z,MB_P19_AA,MB_P19_BB,MB_P19_CC,MB_P19_DD,MB_P19_EE,MB_P20,MB_P21,MB_P22_1,MB_P22_2,MB_P22_3,MB_P22_4,MB_P22_5,MB_P22_6,MB_P22_7,MB_P22_8,MB_P23,MB_P24,MB_P25_1,MB_P25_2,MB_P25_3,MB_P25_4,CISSP_25B_1_1,CISSP_25B_1_2,CISSP_25B_1_3,CISSP_25B_1_4,CISSP_25B_1_5,CISSP_25B_1_6,CISSP_25B_1_7,CISSP_25B_1_8,CISSP_25B_1_9,CISSP_25B_2_1,CISSP_25B_2_2,CISSP_25B_2_3,CISSP_25B_2_4,CISSP_25B_2_5,CISSP_25B_2_6,CISSP_25B_2_7,CISSP_25B_2_8,CISSP_25B_2_9,MB_P26,MB_P27,MB_P28,MB_P29,MB_P300,MB_P31,MB_P32,MB_P33_1,MB_P33_2,MB_P33_3,MB_P33_4,MB_P33_5,MB_P33_6,MB_P33_7,MB_P33_8,MB_P34_1,MB_P34_2,MB_P34_3,MB_P34_4,MB_P34_5,MB_P35,CISSP_1_1,CISSP_1_2,CISSP_2_1,CISSP_2_2,CISSP_2_3,CISSP_2_4,CISSP_2_5,CISSP_2_6,CISSP_2_7,CISSP_2_8,CISSP_2_9,CISSP_3,CISSP_4,CISSP_5,CISSP_6,CISSP_6_OTRO,CISSP_7,CISSP_8_1,CISSP_8_2,CISSP_9,CISSP_10,CISSP_11,CISSP_12_1,CISSP_12_2,CISSP_12_3,CISSP_12_4,CISSP_12_5,CISSP_12_6,CISSP_12_7,CISSP_12_8,CISSP_13_1,CISSP_13_2,CISSP_14_1,CISSP_14_2,CISSP_15,CISSP_16,CISSP_17,CISSP_18,CISSP_19_1,CISSP_19_2,CISSP_20,CISSP_21,CISSP_22_1,CISSP_22_2,CISSP_23,CISSP_24_1,CISSP_24_2,CISSP_24_3,CISSP_25_1,CISSP_25_2,CISSP_26,CISSP_27,CISSP_28,CISSP_29_1,CISSP_29_2,CISSP_29_3,CISSP_29_4,CISSP_29_5,CISSP_29_6,CISSP_30,CISSP_31,CISSP_32,CISSP_33_ANO,CISSP_33_MES,CISSP_34,CISSP_35,CISSP_36,CISSP_37,CISSP_38,CISSP_39_1,CISSP_39_2,CISSP_39_3,CISSP_39_4,CISSP_39_5,CISSP_39_6,CISSP_40_1,CISSP_40_2,CISSP_40_3,CISSP_40_4,CISSP_40_5,CISSP_40_6,CISSP_41,CISSP_42,CISSP_43,CISSP_43_OTRO,CISSP_44,CISSP_45,CISSP_46_1,CISSP_46_2,CISSP_46_3,CISSP_46_4,CISSP_46_5,CISSP_47,CISSP_48,CISSP_49,CISSP_50_1,CISSP_50_2,CISSP_51,DS_P1,DS_P2,DS_P2_EXACTA,DS_P2_EDAD_APROX,DS_P2A_DIA,DS_P2A_MES,DS_P2A_ANO,DS_P3,DS_P4,DS_P5,DS_P6,DS_P6_HORAS,DS_P7,DS_P8,DS_P8_EXACTO,DS_P9,DS_P10,DS_P10_EXACTO,DS_P11,DS_P12,DS_P13A,DS_P13A_PRINCIPAL,DS_P13B,DS_P13B_PRINCIPAL,DS_P13C,DS_P13C_FUNCION,DDP13ciuo08,DS_P14,DS_P15,DS_P16,DS_P17,DS_P17_NHORAS,DS_P18,DS_P19,DS_P20A,DS_P20A_ACTIVIDAD,DS_P20B,DS_P20B_FUNCIONES,DS_P20C,DS_P20C_OTRO,DDP20cuio08,DS_P21,DS_P22,DS_P23,DS_P24,DS_P25,DS_P25_OTRA,DS_P26,DS_P27,DS_P28,DS_P29,DS_P29_OTRO,DS_P30,DS_P31,DS_P31_OTRO,DS_P32A,DS_P32A_OTRO,DS_P32B,DS_P32B_OTRO,DS_P32C,DS_P32C_OTRO,DS_P33,DS_P33_EDAD,DS_P34,DS_P35,DS_P36,DS_P37,DS_P37_OTRO,DS_P38,DS_P38_OTRO,DS_P39,DS_P40,DS_P41,P42_1,P42_2,P42_3,P42_4,P42_5,P42_6,P42_7,P42_8,P42_9,P42_10,P42_11,P42_12,P42_13,P42_14,P42_15,P42_16,P42_17,P43_1,P43_2,P43_3,P43_4,P43_5,P43_6,PONDERADOR,SEXO_ENTREV,EDAD_ENTREV,TRAMO_EDAD,GSE,POSICION_POLITICA,ESCOLARIDAD
496,Del Libertador Gral. Bernardo O'Higgins,6,Santa Cruz,2,9,4,1,5,10,2,2,2,3,2,1,2,2,2,1,1,1,1,3,9,-,9,-,2,-,,-,7,7,4,5,6,6,4,5,6,6,6,4,4,6,6,6,4,6,6,6,2,8,6,4,6,2,4,6,6,6,6,6,6,2,1,4,5,5,5,5,4,5,5,8,8,8,8,8,8,4,2,3,4,4,3,3,3,3,2,2,2,3,2,3,3,2,3,1,1,4,2,2,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,2,2,4,2,2,2,2,2,2,2,3,4,3,,-,3,2,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2004,3,3,8,1,4,3,4,4,4,4,4,4,1,1,1,1,1,1,2,2,3,-,2,2,,,,,,4,4,3,2,4,5,2,1,65,,18,8,1949,8,2,2,,,1,,,2,,,1,2,1,REPARADORA DE CALZADO,1,CICER ZAPATOS,1,FABRICA DE ZAPATOS,8156,10,3,,,,,,,-,,-,,-,,,2,9,3,1,-,6,3,1,5,-,88,1,3,1,2,1,1,1,0,1,9,5,5,5,1,-,1,-,2,5,4,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,0.44,2,65,5,4,4,2
497,Del Libertador Gral. Bernardo O'Higgins,6,Santa Cruz,2,9,4,10,3,6,2,1,3,3,2,1,3,1,1,2,2,1,2,2,9,-,9,-,4,-,4,-,7,7,6,6,6,6,4,6,6,6,6,6,4,6,6,8,6,6,6,6,4,6,6,6,6,6,8,6,6,6,6,6,6,8,3,3,3,2,4,5,5,3,2,2,1,3,3,3,3,2,2,4,4,4,2,3,2,1,1,3,3,3,3,3,3,1,3,1,1,3,1,1,2,1,2,2,2,2,2,2,2,1,5,8,8,8,8,1,1,2,2,2,1,2,2,2,2,1,2,3,3,2,,-,2,1,5,1,1,1,3,3,2,3,3,3,2,3,5,1,5,5,1,1,2,1,5,5,1,2,1,1,2,3,3,5,1,1,2,3,2,2,5,3,2,5,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,-,,1,2,3,3,1,3,3,3,2,1,1,2,1,1,26,,4,10,1988,8,2,1,1,45,1,,,2,,,1,2,1,GUARDIA DE SEGURIDAD,1,"GUARDIA DE SEGURIDAD, CUIDANDO",1,EMPRESA DE SEGURIDAD,5414,1,2,1,1,45,1,2,1,PROFESORA,1,PROFESORA,1,ESCUELA DIFERENCIAL,2341,1,8,3,3,1,-,4,5,2,,-,88,1,1,1,1,99,,99,,98,,7,7,5,1,-,1,-,3,1,4,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.826,1,26,2,4,4,2
498,Del Libertador Gral. Bernardo O'Higgins,6,Santa Cruz,2,9,4,10,5,1,3,2,4,3,1,2,2,2,2,2,2,1,2,3,8,INDEPENDIENTE,,-,4,-,4,-,3,,3,6,6,6,3,3,6,6,6,6,3,4,3,6,6,6,6,6,4,6,6,6,8,6,2,6,6,6,6,6,6,2,2,5,4,4,3,3,4,4,3,1,2,8,2,2,2,2,2,3,4,2,3,4,3,3,2,3,4,3,3,2,2,2,3,1,1,3,2,2,1,1,2,3,2,2,1,2,2,2,2,4,2,4,4,1,4,2,2,2,2,2,2,2,2,4,2,4,4,2,,-,2,2,5,2,1,2,2,4,2,2,4,2,2,2,5,3,5,1,1,1,3,2,5,5,2,2,2,3,1,4,3,4,4,2,3,1,3,2,4,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,-,,1,2,4,4,1,1,3,4,1,2,4,2,2,1,20,,26,6,1994,15,5,1,1,28,1,,,2,,,1,2,1,GUA DE TURISMO O SOMELIER,1,RECIBIR GENTE EXPLICARLE PROCESOS DE LA VIA,1,VIA,5113,1,3,,,,,,,-,,-,,-,,,2,2,3,1,-,6,4,1,8,INDEPENDIENTE,88,1,4,1,3,1,1,1,0,1,12,6,6,5,1,-,1,-,2,1,4,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1.588,2,20,1,4,2,4
501,Del Libertador Gral. Bernardo O'Higgins,6,Santa Cruz,1,13,4,3,6,11,2,2,2,2,2,9,9,9,9,9,9,1,2,2,9,-,9,-,9,-,4,-,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,3,1,1,1,1,1,9,3,3,3,5,4,4,4,4,4,4,4,3,2,2,9,9,4,9,8,4,2,4,1,2,4,2,2,1,3,9,9,9,9,9,9,9,2,5,5,5,5,5,4,9,9,1,3,4,1,1,1,1,1,1,1,1,1,99,-,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,5,2,8,1,3,2,2,3,2,4,4,4,2,1,2,1,1,1,2,1,3,-,1,2,,,,,,3,3,4,2,4,4,2,1,63,,26,2,1952,7,1,2,,,1,,,2,,,1,1,1,COSTURERA,1,VESTUARIO,1,MODA,7533,5,1,2,,,2,2,1,MARMOLISTAS,1,MRMOL,1,CONSTRUCCIN,7113,8,2,1,3,3,-,99,3,1,9,-,88,1,2,99,,99,,99,,98,,6,6,1,1,-,1,-,4,3,3,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.444,2,63,5,4,4,2
503,Del Libertador Gral. Bernardo O'Higgins,6,Santa Cruz,1,18,4,5,3,11,3,2,4,3,2,3,9,2,2,2,2,9,2,9,9,-,9,-,4,-,4,-,7,7,3,4,6,6,3,3,3,6,2,6,4,3,3,6,6,3,3,3,4,6,6,4,3,4,2,3,2,3,3,3,6,9,9,1,3,2,4,5,6,1,2,2,2,9,5,9,1,9,3,3,9,3,2,3,2,9,3,9,9,9,3,3,3,2,2,1,2,2,1,2,1,1,9,9,9,9,2,9,2,1,3,3,2,2,9,4,4,2,2,2,2,2,2,2,2,2,2,3,3,9,,-,9,4,9,1,1,2,4,3,2,2,4,2,2,2,5,2,3,1,1,2,2,4,5,5,4,1,2,2,2,2,2,2,4,2,2,2,4,2,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,3,3,2,1,2,1,2,2,4,2,2,1,27,,12,1,1988,18,8,1,1,44,1,,,2,,,2,1,1,PROFESORA LENGUAJE,1,ENSEANZA ESCUCHAR,1,EDUCACIN,2341,1,1,1,1,44,2,2,1,CONSTRUCCIN,1,CONSTRUCTOR,1,CONSTRUCCIN,7111,1,3,3,3,2,-,8,8,1,88,-,88,1,2,1,2,99,,99,,98,,12,12,5,1,-,1,-,4,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,0.698,2,27,2,3,4,4
505,Del Maule,7,Talca,1,24,4,11,2,10,2,2,2,3,2,1,3,1,1,1,1,1,1,1,5,-,,-,2,-,,-,3,,2,4,3,6,4,4,2,2,3,4,4,4,1,3,6,6,4,1,1,3,6,4,4,4,4,3,2,4,2,6,6,2,1,4,4,4,4,4,4,4,4,1,1,2,2,2,9,4,4,4,2,3,2,2,2,4,2,1,1,4,3,2,1,4,4,2,2,4,2,2,2,2,1,3,2,2,2,2,2,1,4,4,4,4,4,2,4,4,2,3,2,2,2,2,2,2,2,4,4,1,1,-,2,2,3,3,1,2,2,2,2,2,2,2,2,2,4,2,5,5,2,1,1,3,3,2,3,2,2,2,2,2,2,2,5,5,4,8,4,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,4,4,4,2,3,1,1,64,,15,1,1951,12,4,1,1,45,1,,,1,999,,1,1,1,TCNICO LABORATORIO,1,TECNO LOGO DE ANATOMA,9999,-,3212,1,1,3,,,,,,-,,-,,-,,9,4,9,2,9,-,8,4,1,5,-,88,1,2,1,2,99,,99,,98,,99,99,1,1,-,1,-,3,1,3,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,0.478,1,64,5,3,2,3
506,Del Maule,7,Talca,1,26,4,8,10,5,3,2,4,3,2,2,3,2,2,2,2,2,2,2,99,-,99,-,9,-,9,-,8,9,6,2,8,6,2,2,2,3,6,2,3,6,2,6,2,5,2,2,2,6,2,2,6,2,2,2,2,6,6,6,6,2,2,3,2,2,3,2,3,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,2,2,1,1,3,3,3,3,3,3,3,3,4,4,3,3,4,2,2,4,2,1,1,2,3,3,2,3,3,4,4,2,,-,2,2,4,1,1,2,2,2,3,2,3,3,3,3,5,5,3,4,1,2,2,3,3,4,2,2,2,2,3,4,3,4,2,4,3,2,3,2,4,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,2,2,2,2,2,3,2,1,23,,5,4,1992,12,4,1,1,45,1,,,2,,,1,1,1,EMPLEADA EN HOTEL,1,ATENDER PUBLICO,9999,-,4224,1,1,1,1,45,9,9,9999,-,9999,-,9999,-,9999,1,99,9,3,9,-,8,5,2,,-,88,1,2,1,2,99,,99,,98,,99,99,5,1,-,1,-,3,3,3,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,0.601,2,23,1,3,5,3
507,Del Maule,7,Talca,1,10,4,5,11,10,3,8,5,2,2,8,8,8,8,8,8,2,1,2,9,-,9,-,4,-,4,-,7,7,2,2,6,6,3,4,2,6,2,4,2,2,2,2,6,6,2,6,4,2,6,2,2,4,2,4,3,6,6,6,6,8,8,1,2,1,1,4,1,4,1,8,8,8,8,8,8,1,3,3,4,4,3,3,2,3,2,4,4,3,3,4,3,2,3,8,8,4,2,2,2,2,3,3,3,3,3,3,2,2,4,4,4,2,4,1,2,4,1,2,2,1,1,1,1,1,2,1,1,2,,-,2,3,4,2,1,2,2,4,4,4,4,2,3,2,5,3,5,2,1,1,3,2,3,5,3,2,2,2,3,5,3,1,2,2,4,2,1,2,4,3,3,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,5,3,3,1,1,3,4,2,4,2,3,2,1,49,,13,12,1965,13,4,1,1,46,1,,,2,,,1,2,1,CAJERA,1,CAJERA HACER DEPOSITO,1,DISTRIBUIDORA DE ALCOHOL Y BEBIDAS.,5230,1,1,1,1,100,2,1,1,PREPARA COLACIONES,1,COCINAR,1,COCINAR,5120,1,4,3,9,1,-,5,3,1,99,-,88,1,8,1,5,1,0,1,3,1,1,99,99,1,1,-,1,-,1,2,3,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1.202,2,49,4,3,4,4
508,Del Maule,7,Talca,1,10,4,11,2,3,2,2,2,3,3,2,2,2,2,2,2,1,2,3,9,-,9,-,4,-,4,-,7,7,6,2,6,6,4,2,6,6,6,8,2,8,6,6,6,9,3,6,3,9,6,8,9,6,2,6,8,8,9,6,6,9,9,1,88,1,2,3,1,2,1,8,8,8,8,8,8,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,8,8,4,8,2,1,2,3,3,3,3,3,3,3,3,8,8,8,8,8,9,2,3,2,2,2,2,2,2,2,2,2,3,2,2,,-,8,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,12,4,1,2,,,,,,,,,,,,,,,,,10,JUBILACION,9,2,,,,,,4,4,3,2,3,5,1,1,73,,17,8,1942,8,2,2,,,9,,,2,,,1,9,1,TRANSPORTISTA,1,MANEJAR CAMIONES,1,MANEJAR,8332,99,1,1,1,40,2,2,1,COMERCIANTE,1,VENDER,1,VENDER,5221,1,2,3,3,8,CRISTIANA,8,3,2,,-,88,1,2,1,2,1,0,1,0,98,,5,8,1,1,-,1,-,1,1,4,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.478,1,73,5,3,4,2
509,Del Maule,7,Talca,1,10,4,5,10,14,3,2,4,3,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,6,3,3,3,2,3,6,6,4,3,2,2,4,2,6,6,3,3,4,3,3,3,6,2,2,3,3,6,4,6,3,2,2,1,1,1,1,1,4,1,2,2,2,4,4,4,4,2,2,8,4,4,3,3,1,4,1,4,4,4,4,3,3,2,4,1,1,1,9,8,1,2,3,3,3,3,3,2,3,3,4,4,4,4,4,1,4,3,1,1,1,1,2,2,2,2,2,1,1,1,9,EL NO TENER UN N PITUTO,1,1,5,1,1,3,5,5,5,1,3,1,1,1,3,1,1,1,1,1,3,4,1,4,3,1,5,3,7,1,3,1,1,3,4,2,1,1,5,5,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,4,4,1,1,3,2,2,4,1,3,2,1,28,,18,2,1987,20,6,1,1,44,1,,,2,,,2,1,1,PROFESORA DE EDUCACIN ESPECIAL,1,APOYAR A LOS ALUMNOS EN SALA,1,EDUCACIN,2341,1,1,1,1,50,1,2,1,OPERADOR DE MAQUINA,1,OPERAR MAQUINARIA PESADA,1,OBRAS MARTIMAS,8343,1,4,3,3,1,-,4,3,2,,-,88,1,4,1,2,1,2,1,0,1,9,11,11,1,1,-,1,-,3,3,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,0.998,2,28,2,3,4,4
511,Del Maule,7,Talca,1,14,4,3,11,1,4,2,4,3,2,2,3,2,2,2,2,2,2,3,9,-,9,-,4,-,8,-,2,,4,8,6,6,2,4,8,8,3,4,6,2,2,6,6,8,6,4,4,3,6,6,6,4,2,4,2,6,6,6,8,2,2,3,3,3,3,3,3,3,3,2,2,4,2,2,2,4,3,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,2,1,4,1,2,2,1,3,3,3,3,3,3,3,3,4,4,4,4,4,1,4,2,1,1,1,1,1,1,1,1,1,1,2,2,,-,2,2,4,1,1,2,5,4,4,2,1,1,1,1,3,2,5,3,1,1,3,3,3,3,4,1,3,2,2,3,3,3,4,4,5,4,1,1,4,4,4,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,2,2,3,2,4,3,2,1,45,,30,9,1970,20,9,1,1,45,1,,,1,1,5,2,1,1,ENFERMERA,1,CURACIONES,1,ENFERMERA,2221,1,3,,,,,,,-,,-,,-,,,9,4,3,9,-,8,4,1,9,-,88,1,2,1,1,1,1,1,0,1,14,12,12,5,1,-,1,-,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,0.285,2,45,4,1,1,4
512,Del Maule,7,Talca,1,15,4,10,3,5,1,2,3,3,2,2,3,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,5,3,6,6,3,3,6,6,3,6,3,4,4,6,6,6,6,3,5,6,6,3,6,3,2,3,3,8,6,6,3,2,2,1,3,1,2,1,2,2,1,2,2,3,4,4,1,3,1,8,4,4,1,2,2,4,3,3,3,8,3,3,8,3,3,1,1,3,1,2,2,1,3,2,2,2,2,2,2,1,2,4,4,4,2,3,2,2,1,2,1,1,1,1,1,1,1,3,3,2,,-,2,2,2,2,1,2,4,4,4,3,4,2,2,2,3,3,5,1,1,1,2,2,5,5,4,2,3,3,3,3,3,3,4,2,4,3,2,2,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,2,2,3,2,3,2,1,32,,6,5,1982,15,6,1,1,48,1,,,2,,,2,1,1,MANIPULADORA DE ALIMENTOS,1,MANIPULADORA DE ALIMENTOS,1,PREPARAR ALIMENTOS,5120,1,3,,,,,,,-,,-,,-,,,6,4,3,1,-,8,5,2,,-,88,1,2,1,1,1,1,1,0,1,7,99,99,5,1,-,1,-,3,1,3,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,0.394,2,32,2,2,4,4
513,Del Maule,7,Talca,1,24,4,10,7,9,3,2,4,3,1,3,3,2,2,2,2,2,2,3,99,-,99,-,9,-,9,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,2,2,3,2,1,1,8,8,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,3,2,2,1,1,3,3,3,3,3,3,2,2,4,4,4,3,4,3,4,2,2,3,3,2,2,3,2,2,3,3,3,2,,-,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,-,4,9,,,,,,2,3,8,2,4,3,2,1,53,,,,,16,8,3,,,,,,,,,,,,-,,-,,-,,9,1,1,1,45,1,1,9999,-,9999,-,9999,-,9999,1,8,5,3,99,-,8,6,9,,-,88,1,3,1,2,1,1,99,,99,,99,99,1,1,-,1,-,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,0.57,2,53,4,2,5,4
515,Del Maule,7,Talca,1,14,4,16,3,6,3,2,4,2,2,2,2,2,2,2,9,1,1,8,9,-,9,-,4,-,4,-,7,7,3,8,6,8,3,9,6,6,4,9,3,6,2,6,6,4,8,8,8,6,6,8,8,4,8,6,2,6,6,6,8,9,9,4,3,3,4,5,4,4,4,1,1,3,2,4,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,4,3,3,3,1,1,4,1,2,2,1,2,3,2,2,3,3,3,1,4,4,4,4,4,1,4,2,1,1,1,1,1,1,1,1,4,3,4,2,,-,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4,3,2,4,4,4,3,4,1,1,1,1,1,1,2,2,1,-,1,2,,,,,,2,2,2,2,3,3,2,1,38,,23,6,1976,13,4,3,,,,,,,,,,,,-,,-,,-,,9,1,1,1,45,1,2,1,INGENIERO CONSTRUCTOR,1,INSPECTOR DE OBRA,1,INSPECTOR,2149,1,8,5,3,1,-,8,6,1,99,-,88,1,5,1,2,1,2,1,1,1,1,12,12,1,1,-,1,-,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,0.734,2,38,3,2,4,4
516,Del Maule,7,Talca,1,23,4,5,7,13,2,2,3,4,3,2,2,2,2,2,2,1,2,3,9,-,9,-,4,-,4,-,8,8,2,6,6,6,2,3,6,6,6,2,3,2,3,6,6,6,6,6,3,6,6,2,6,3,2,2,2,6,6,6,3,8,8,1,1,1,1,1,1,1,1,2,2,4,4,8,3,3,2,4,4,4,3,3,3,4,2,4,4,3,3,3,4,3,4,2,2,4,2,2,1,2,3,2,2,3,1,2,2,2,3,3,3,3,3,3,4,2,2,2,2,3,3,2,1,3,1,1,1,2,,-,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2,1,2,4,2,4,2,2,1,1,1,1,1,1,2,2,2,-,1,1,2,1,1,1,1,4,2,1,1,3,4,2,1,23,,10,3,1992,16,7,3,,,,,,,,,,,,-,,-,,-,,7,3,,,,,,,-,,-,,-,,,99,9,9,1,-,8,5,1,9,-,88,1,5,1,5,99,,99,,98,,99,99,5,1,-,1,-,3,3,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1.779,2,23,1,2,5,4
517,Del Maule,7,Talca,1,16,4,2,1,10,2,3,3,3,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,2,2,2,6,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,2,2,4,4,4,4,3,3,3,4,3,3,3,3,3,2,4,4,4,4,4,3,2,3,1,2,4,2,2,2,1,3,3,3,3,2,3,3,3,8,8,8,8,8,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,,-,1,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,4,3,6,2,,,,,,,,,,,,,,,,,3,-,1,1,5,5,2,1,1,4,5,4,2,4,4,1,1,67,,,,,13,6,2,,,9,,,2,,,1,2,1,JEFE DE TALLER,1,MANTENCIN DE VEHCULOS,1,JEFE DE TALLER,9999,8,2,9,,,,,,-,,-,,-,,99,6,4,2,1,-,7,4,1,9,-,88,1,3,1,2,1,0,1,1,1,1,99,99,4,1,-,1,-,3,1,3,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,0.511,1,67,5,2,4,4
518,Del Maule,7,Talca,1,16,4,1,10,5,3,2,3,3,2,2,2,2,2,2,2,8,2,3,9,-,9,-,1,-,,-,2,,3,1,6,6,2,3,1,6,1,3,2,1,3,6,6,6,2,4,4,2,6,1,1,3,1,4,2,6,6,6,4,3,3,2,2,2,2,2,2,2,2,2,2,9,9,9,9,4,1,4,4,4,3,3,3,8,2,4,4,2,3,4,4,2,3,1,2,3,2,2,2,1,3,3,3,3,2,2,8,8,8,8,8,8,8,3,4,2,1,2,1,1,1,1,1,1,1,8,8,3,,-,3,2,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,8,9,9,9,9,9,9,1,1,1,1,1,1,1,2,2,-,8,2,,,,,,3,2,2,4,2,2,2,1,22,,18,12,1992,17,7,3,,,,,,,,,,,,-,,-,,-,,7,3,,,,,,,-,,-,,-,,,6,9,3,1,-,8,99,2,,-,88,1,3,1,2,1,1,1,0,98,,99,99,5,1,-,1,-,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,0.642,2,22,1,3,1,4
