xpos,ypos,distpinx,distpiny,distpin,distfrx,distfry,distfr,ditpinfrx,predpin,coinc1,strat1,strat2,Voto1,VotoPF,VotoPE,MBP22_A,MBP22_B,MBP22_C,MBP22_D,MBP22_E,MBP22_F,MBP02,MBP03,MBP04,MBP05,MBP07,MBP15,MBP21_A,MBP21_B,MBP21_C,MBP21_D,correct,correct2,NSE,vote
-0.679488172,0.078707182,1.685872362,1.763608715,2.439770752,0.943883899,0.490973464,1.063941614,0.741988463,1,1,0,0,1,1,1,3,3,1,2,1,1,4,1,4,1,2,5,5,9,9,88,0,0,2,1
0.217136726,-0.468670794,0.789247464,1.21623074,1.449871985,0.047259001,0.056404511,0.073585882,0.741988463,1,0,0,0,2,2,4,1,3,2,2,1,1,4,1,4,2,1,5,5,10,1,1,1,0,2,0
-0.24799182,0.358285934,1.254376011,2.043187467,2.397514171,0.512387548,0.770552216,0.925360318,0.741988463,1,1,0,0,1,1,1,2,2,2,2,1,1,4,1,4,2,1,1,10,4,6,6,0,0,3,1
1.396422335,0.398495116,0.390038145,2.083396649,2.119592261,1.132026608,0.810761398,1.392414552,-0.741988463,0,0,0,0,1,1,1,2,1,2,2,1,1,5,2,2,2,1,1,2,9,5,4,0,0,3,1
0.217136726,-0.468670794,0.789247464,1.21623074,1.449871985,0.047259001,0.056404511,0.073585882,0.741988463,1,0,1,0,4,6,4,2,2,3,2,1,2,3,1,4,3,1,2,3,9,3,3,0,0,2,0
1.03911641,-0.367419753,0.03273222,1.31748178,1.317888326,0.774720683,0.044846529,0.776017621,-0.741988463,0,0,0,0,1,1,1,2,2,2,2,2,1,2,1,3,3,2,1,2,6,5,5,0,0,3,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,6,4,2,2,1,1,1,1,4,1,4,1,1,5,5,10,4,88,0,0,2,0
-1.250286211,-0.091552309,2.256670401,1.593349224,2.762484941,1.514681938,0.320713973,1.548263164,0.741988463,1,0,0,0,2,2,4,3,3,3,3,3,1,4,1,3,2,1,2,6,10,4,1,1,1,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,5,1,2,1,1,1,1,3,2,3,3,1,2,6,9,2,1,1,1,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,2,4,2,2,1,1,1,1,4,1,4,2,1,2,3,8,4,4,0,0,2,0
